City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Kindu,CD,2021-03-04 03:22:44,-2.95,25.95,67.23,96,100,2.3
232,Tuktoyaktuk,CA,2021-03-04 03:19:18,69.4541,-133.0374,-23.8,76,75,3.44
233,Alnashi,RU,2021-03-04 03:22:44,56.1874,52.4792,13.59,95,99,10.47
234,Maceio,BR,2021-03-04 03:20:08,-9.6658,-35.7353,77.0,88,40,6.91
235,Guerrero Negro,MX,2021-03-04 03:20:42,27.9769,-114.0611,60.53,70,0,12.71
236,Follonica,IT,2021-03-04 03:22:45,42.9263,10.7616,37.4,87,0,4.61
237,Pisco,PE,2021-03-04 03:21:33,-13.7,-76.2167,75.2,73,75,9.22
238,Yebaishou,CN,2021-03-04 03:22:46,41.3975,119.6408,52.18,44,0,13.13
239,Vermillion,US,2021-03-04 03:19:09,42.7794,-96.9292,48.2,61,1,8.05
240,Ulladulla,AU,2021-03-04 03:22:47,-35.35,150.4667,80.6,29,0,10.36
241,Flinders,AU,2021-03-04 03:19:32,-34.5833,150.8552,81.0,59,1,4.0
242,Sao Jose Da Coroa Grande,BR,2021-03-04 03:19:14,-8.8978,-35.1478,77.16,84,8,6.98
243,Orcopampa,PE,2021-03-04 03:22:47,-15.2661,-72.3417,47.1,68,100,4.52
244,Fort Nelson,CA,2021-03-04 03:19:30,58.8053,-122.7002,8.6,72,75,8.05
245,Beloha,MG,2021-03-04 03:19:32,-25.1667,45.05,70.86,96,1,3.22
246,Zhongshu,CN,2021-03-04 03:22:48,24.5167,103.7667,59.54,66,99,11.07
247,Pemangkat,ID,2021-03-04 03:22:48,1.1667,108.9667,82.65,77,90,7.61
248,Vaniyambadi,IN,2021-03-04 03:22:49,12.6833,78.6167,75.9,41,58,0.78
249,Nambucca Heads,AU,2021-03-04 03:22:49,-30.65,153.0,77.0,64,75,6.91
250,Buraydah,SA,2021-03-04 03:21:22,26.326,43.975,62.6,55,0,8.05
251,Brae,GB,2021-03-04 03:22:49,60.3964,-1.353,35.6,69,90,13.8
252,Lufilufi,WS,2021-03-04 03:22:50,-13.8745,-171.5986,89.6,70,75,11.5
253,Klaksvik,FO,2021-03-04 03:20:13,62.2266,-6.589,28.4,80,79,6.91
