City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
400,Taitung,TW,77.0,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
404,Balikpapan,ID,84.99,light rain,-1.2675,116.8289,ibis Balikpapan
407,Tura,IN,80.82,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
408,Kavieng,PG,83.59,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
417,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
419,Katherine,AU,86.0,few clouds,-14.4667,132.2667,Pine Tree Motel
422,Cap Malheureux,MU,75.99,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
423,Batemans Bay,AU,79.0,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
425,Daru,PG,84.29,broken clouds,-9.0763,143.2092,Daru Lodge
426,Adzope,CI,75.11,overcast clouds,6.1069,-3.8619,Hôtel AKL
427,Pangai,TO,82.4,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
428,Tezu,IN,79.57,broken clouds,27.9167,96.1667,Circuit House
438,Santiago,CL,75.0,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
445,Santa Fe,AR,77.0,clear sky,-31.6333,-60.7,Conquistador Hotel
461,Sibolga,ID,86.22,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
465,Gambela,ET,77.45,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
466,Barao De Melgaco,BR,75.2,broken clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
473,Fare,PF,83.39,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
475,Kupang,ID,82.4,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
476,Challakere,IN,76.98,clear sky,14.3167,76.65,SR Residency
478,Acapulco,MX,80.6,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
480,Matara,LK,81.21,clear sky,5.9485,80.5353,Amaloh Boutique Resort
481,Kieta,PG,85.35,few clouds,-6.2167,155.6333,Uruna Bay Retreat
483,Barabai,ID,84.67,few clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
485,Quelimane,MZ,75.2,clear sky,-17.8786,36.8883,Hotel Flamingo
487,Kloulklubed,PW,82.4,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
491,Hobyo,SO,77.56,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
492,Tual,ID,83.21,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
495,Sulangan,PH,80.89,few clouds,11.1373,123.7228,Maia's Beach Resort
501,Tarakan,ID,80.15,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
502,Gopalur,IN,77.94,clear sky,16.6167,77.8,Dhaba- Motel
504,Port-Gentil,GA,80.55,overcast clouds,-0.7193,8.7815,Fengshui Residence
507,Merauke,ID,85.03,broken clouds,-8.4667,140.3333,PC
513,Takoradi,GH,80.01,overcast clouds,4.8845,-1.7554,Raybow International Hotel
514,Kuliyapitiya,LK,77.0,clear sky,7.4688,80.0401,Rest House
516,Puerto Ayacucho,VE,79.92,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
518,Maceio,BR,75.2,few clouds,-9.6658,-35.7353,Poutur Pousada
521,Surigao,PH,80.42,scattered clouds,9.7839,125.4889,Almont Beach Resort
532,Tabuk,PH,81.61,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
535,Broken Hill,AU,78.8,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
537,Alyangula,AU,86.0,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
540,Karratha,AU,89.04,clear sky,-20.7377,116.8463,ibis Styles Karratha
542,Berekum,GH,75.22,few clouds,7.4534,-2.5839999999999996,Nyame Nnae Hotel
546,Sola,VU,81.99,broken clouds,-13.8833,167.55,Leumerus Bungalows
551,Bani,DO,77.0,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
552,Oriximina,BR,75.63,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
556,Phaltan,IN,78.94,clear sky,17.9833,74.4333,Hotel New Vijay
557,Mazagao,BR,78.8,heavy intensity rain,-0.115,-51.2894,Recanto dos Ferreiras
559,Labuhan,ID,81.18,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
562,Kudahuvadhoo,MV,82.76,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
565,Pitimbu,BR,77.0,clear sky,-7.4706,-34.8086,Reserva do Abiaí
567,Kanigoro,ID,82.67,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
568,Tautira,PF,84.2,broken clouds,-17.7333,-149.15,Pension Oaoa
572,Marawi,PH,82.0,broken clouds,7.9986,124.2928,Derogongan Residence
581,Dalby,AU,84.2,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
587,Buala,SB,86.67,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
588,Loandjili,CG,77.0,few clouds,-4.7561,11.8578,Résidence ARCHANGE
591,Lugus,PH,81.88,broken clouds,5.7036,120.8203,
